Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna_Chip,
C1,0402,1,10uF,
"C10, C11, C4, C6, C7",0402,5,0.1uF,
"C12, C9",0402,2,1.6pF,
C13,0402,1,470pF,
C14,CP_EIA-1608-08_AVX-J,1,2.2uF,
"C15, C16, C2, C3, C8",0402,5,1uF,
"C17, C18",0402,2,24pF,
C5,0402,1,10nF,
"D1, D3",0402,2,BLUE,
D2,0402,1,RED,
D4,D_SOD-123F,1,MBR120VLSFT1G,
D5,0402,1,GREEN,
DP1,N114-2413THBIG01-H13,1,~,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm,1,Battery_Pad,
"J3, J4",PinHeader_1x14_P2.54mm_Vertical,2,Conn_01x14,
L1,0402,1,2nH,
L2,0402,1,2.8nH,
Q1,SOT-23,1,BC807,
R1,0402,1,20,
"R10, R11",0402,2,10k,
R12,0402,1,40,
"R2, R7",0402,2,1k,
"R3, R4",0402,2,5.1k,
"R5, R6",0402,2,200,
R8,0402,1,4.7k,
R9,0402,1,1.5k,
"SW2, SW3",SW_SPST_EVQP7C,2,SW_Push,
"SW4, SW5",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3R8,
U2,TSOT-23-6,1,TP4057,
U3,SOT-23-5,1,MIC5205-3.3YM5,
U4,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q32JVZP,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,
